,Voltage(V),Bare Electrode Current (A),PVP Electrode Current (A),Chitosan Electrode Current(A),Chitosan GO Electrode Current(A)
0,-0.2,-0.00001854,-0.00001789,-0.00001762,-0.0000163
1,-0.199,-0.0000183,-0.00001757,-0.00001762,-0.00001598
2,-0.198,-0.00001808,-0.00001725,-0.00001762,-0.00001566
3,-0.197,-0.00001793,-0.00001725,-0.0000173,-0.00001566
4,-0.196,-0.00001778,-0.00001693,-0.0000173,-0.00001566
5,-0.195,-0.00001763,-0.00001693,-0.0000173,-0.00001534
6,-0.194,-0.0000175,-0.00001693,-0.0000173,-0.00001566
7,-0.193,-0.00001738,-0.00001661,-0.0000173,-0.00001534
8,-0.192,-0.00001726,-0.00001661,-0.0000173,-0.00001534
9,-0.191,-0.00001714,-0.00001661,-0.0000173,-0.00001534
10,-0.19,-0.00001705,-0.00001629,-0.00001698,-0.00001502
11,-0.189,-0.00001695,-0.00001629,-0.00001698,-0.00001502
12,-0.188,-0.00001686,-0.00001597,-0.00001698,-0.00001502
13,-0.187,-0.00001674,-0.00001597,-0.00001698,-0.0000147
14,-0.186,-0.00001665,-0.00001597,-0.00001698,-0.00001502
15,-0.185,-0.00001656,-0.00001597,-0.00001698,-0.00001502
16,-0.184,-0.00001646,-0.00001597,-0.00001698,-0.0000147
17,-0.183,-0.00001637,-0.00001565,-0.00001666,-0.0000147
18,-0.182,-0.00001628,-0.00001565,-0.00001698,-0.0000147
19,-0.181,-0.00001619,-0.00001565,-0.00001698,-0.0000147
20,-0.18,-0.00001613,-0.00001533,-0.00001666,-0.0000147
21,-0.179,-0.00001604,-0.00001533,-0.00001666,-0.0000147
22,-0.178,-0.00001598,-0.00001533,-0.00001666,-0.0000147
23,-0.177,-0.00001588,-0.00001533,-0.00001666,-0.00001438
24,-0.176,-0.00001579,-0.00001501,-0.00001666,-0.00001438
25,-0.175,-0.00001573,-0.00001501,-0.00001666,-0.00001438
26,-0.174,-0.00001564,-0.00001501,-0.00001666,-0.00001438
27,-0.173,-0.00001558,-0.00001501,-0.00001666,-0.00001438
28,-0.172,-0.00001549,-0.00001501,-0.00001666,-0.00001438
29,-0.171,-0.00001543,-0.00001501,-0.00001666,-0.00001438
30,-0.17,-0.00001533,-0.00001469,-0.00001666,-0.00001438
31,-0.169,-0.00001527,-0.00001469,-0.00001634,-0.00001406
32,-0.168,-0.00001521,-0.00001469,-0.00001666,-0.00001438
33,-0.167,-0.00001512,-0.00001437,-0.00001634,-0.00001438
34,-0.166,-0.00001506,-0.00001437,-0.00001634,-0.00001406
35,-0.165,-0.00001497,-0.00001437,-0.00001634,-0.00001406
36,-0.164,-0.00001491,-0.00001437,-0.00001634,-0.00001406
37,-0.163,-0.00001485,-0.00001437,-0.00001634,-0.00001406
38,-0.162,-0.00001475,-0.00001437,-0.00001634,-0.00001406
39,-0.161,-0.00001469,-0.00001437,-0.00001634,-0.00001374
40,-0.16,-0.00001463,-0.00001405,-0.00001634,-0.00001406
41,-0.159,-0.00001457,-0.00001405,-0.00001634,-0.00001374
42,-0.158,-0.00001451,-0.00001405,-0.00001634,-0.00001374
43,-0.157,-0.00001442,-0.00001405,-0.00001602,-0.00001374
44,-0.156,-0.00001436,-0.00001373,-0.00001634,-0.00001374
